xPos,yPos,d,t,a,
1.200000,2.270000,0.000000,0.000000,driveSetOdometryRoutine,
1.200000,2.270000,0.000000,0.000000,drivePathRoutine,
1.269442,2.270177,0.434642,0.215162,drivePathRoutine,
1.338472,2.271369,1.670303,0.303844,drivePathRoutine,
1.406703,2.274453,3.623979,0.371289,drivePathRoutine,
1.473781,2.280170,6.229260,0.427476,drivePathRoutine,
1.539376,2.289127,9.425683,0.477266,drivePathRoutine,
1.603191,2.301811,13.149532,0.526288,drivePathRoutine,
1.664955,2.318590,17.326730,0.577816,drivePathRoutine,
1.724424,2.339727,21.868878,0.631193,drivePathRoutine,
1.781386,2.365387,26.673459,0.685824,drivePathRoutine,
1.835651,2.395643,31.628570,0.741160,drivePathRoutine,
1.887062,2.430486,36.621217,0.796700,drivePathRoutine,
1.935483,2.469832,41.546955,0.852000,drivePathRoutine,
1.980811,2.513533,46.318172,0.906678,drivePathRoutine,
2.022964,2.561379,50.869039,0.960425,drivePathRoutine,
2.061890,2.613114,55.156510,1.012996,drivePathRoutine,
2.097562,2.668438,59.158078,1.064213,drivePathRoutine,
2.129977,2.727019,62.867625,1.113949,drivePathRoutine,
2.159160,2.788497,66.290684,1.162122,drivePathRoutine,
2.185159,2.852498,69.440005,1.208679,drivePathRoutine,
2.208049,2.918635,72.331904,1.253586,drivePathRoutine,
2.227928,2.986524,74.983452,1.296818,drivePathRoutine,
2.244919,3.055786,77.410449,1.338345,drivePathRoutine,
2.259170,3.126057,79.625984,1.378126,drivePathRoutine,
2.270851,3.196997,81.639419,1.417099,drivePathRoutine,
2.280157,3.268298,83.455669,1.457433,drivePathRoutine,
2.287307,3.339692,85.074690,1.500724,drivePathRoutine,
2.292541,3.410956,86.491146,1.547673,drivePathRoutine,
2.296123,3.481927,87.694310,1.599392,drivePathRoutine,
2.298340,3.552504,88.668291,1.657807,drivePathRoutine,
2.299501,3.622659,89.392783,1.726746,drivePathRoutine,
2.299937,3.692444,89.844561,1.816194,drivePathRoutine,
2.300000,3.762000,90.000000,2.031533,drivePathRoutine,
2.300000,3.762000,90.000000,2.031533,drivePathRoutine,
2.299993,3.662897,89.989098,2.288571,drivePathRoutine,
2.299964,3.564215,89.980337,2.394653,drivePathRoutine,
2.299946,3.466323,90.007741,2.475512,drivePathRoutine,
2.300028,3.369536,90.103633,2.543043,drivePathRoutine,
2.300347,3.274120,90.299358,2.601843,drivePathRoutine,
2.301084,3.180291,90.625674,2.654275,drivePathRoutine,
2.302456,3.088223,91.112852,2.701752,drivePathRoutine,
2.304712,2.998046,91.790469,2.745207,drivePathRoutine,
2.308128,2.909852,92.686848,2.785304,drivePathRoutine,
2.312996,2.823697,93.828091,2.823263,drivePathRoutine,
2.319624,2.739602,95.236618,2.861116,drivePathRoutine,
2.328327,2.657561,96.929193,2.900159,drivePathRoutine,
2.339423,2.577537,98.914469,2.940679,drivePathRoutine,
2.353224,2.499470,101.190249,2.983086,drivePathRoutine,
2.370032,2.423280,103.740853,3.027557,drivePathRoutine,
2.390134,2.348866,106.535223,3.073831,drivePathRoutine,
2.413796,2.276111,109.526492,3.121537,drivePathRoutine,
2.441253,2.204886,112.653655,3.170263,drivePathRoutine,
2.472709,2.135053,115.845530,3.219577,drivePathRoutine,
2.508328,2.066464,119.026560,3.269030,drivePathRoutine,
2.548227,1.998970,122.123318,3.318174,drivePathRoutine,
2.592473,1.932417,125.070365,3.366572,drivePathRoutine,
